RM,DIS,Price
6.57,4.09,24.00
6.42,4.97,21.60
7.18,4.97,34.70
7.00,6.06,33.40
7.15,6.06,36.20
6.43,6.06,28.70
6.01,5.56,22.90
6.17,5.95,27.10
5.63,6.08,16.50
6.00,6.59,18.90
6.38,6.35,15.00
6.01,6.23,18.90
5.89,5.45,21.70
5.95,4.71,20.40
6.10,4.46,18.20
5.83,4.50,19.90
5.93,4.50,23.10
5.99,4.26,17.50
5.46,3.80,20.20
5.73,3.80,18.20
5.57,3.80,13.60
5.97,4.01,19.60
6.14,3.98,15.20
5.81,4.10,14.50
5.92,4.40,15.60
5.60,4.45,13.90
5.81,4.68,16.60
6.05,4.45,14.80
6.49,4.45,18.40
6.67,4.24,21.00
5.71,4.23,12.70
6.07,4.18,14.50
5.95,3.99,13.20
5.70,3.79,13.10
6.10,3.76,13.50
5.93,3.36,18.90
5.84,3.38,20.00
5.85,3.93,21.00
5.97,3.85,24.70
6.59,5.40,30.80
7.02,5.40,34.90
6.77,5.72,26.60
6.17,5.72,25.30
6.21,5.72,24.70
6.07,5.72,21.20
5.68,5.10,19.30
5.79,5.10,20.00
6.03,5.69,16.60
5.40,5.87,14.40
5.60,6.09,19.40
5.96,6.81,19.70
6.11,6.81,20.50
6.51,6.81,25.00
6.00,6.81,23.40
5.89,7.32,18.90
7.25,8.70,35.40
6.38,9.19,24.70
6.82,8.32,31.60
6.14,7.81,23.30
5.93,6.93,19.60
5.74,7.23,18.70
5.97,6.82,16.00
6.46,7.23,22.20
6.76,7.98,25.00
7.10,9.22,33.00
6.29,6.61,23.50
5.79,6.61,19.40
5.88,6.50,22.00
5.59,6.50,17.40
5.89,6.50,20.90
6.42,5.29,24.20
5.96,5.29,21.70
6.07,5.29,22.80
6.24,5.29,23.40
6.27,4.25,24.10
6.29,4.50,21.40
6.28,4.05,20.00
6.14,4.09,20.80
6.23,5.01,21.20
5.87,4.50,20.30
6.73,5.40,28.00
6.62,5.40,23.90
6.30,5.40,24.80
6.17,5.40,22.90
6.39,4.78,23.90
6.63,4.44,26.60
6.01,4.43,22.50
6.12,3.75,22.20
7.01,3.42,23.60
7.08,3.41,28.70
6.42,3.09,22.60
6.41,3.09,22.00
6.44,3.67,22.90
6.21,3.67,25.00
6.25,3.62,20.60
6.63,3.50,28.40
6.16,3.50,21.40
8.07,3.50,38.70
7.82,3.50,43.80
7.42,3.50,33.20
6.73,2.78,27.50
6.78,2.86,26.50
6.41,2.71,18.60
6.14,2.71,19.30
6.17,2.42,20.10
5.85,2.11,19.50
5.84,2.21,19.50
6.13,2.12,20.40
6.47,2.43,19.80
6.23,2.55,19.40
6.20,2.78,21.70
6.72,2.68,22.80
5.91,2.35,18.80
6.09,2.55,18.70
6.25,2.26,18.50
5.93,2.46,18.30
6.18,2.73,21.20
6.02,2.75,19.20
5.87,2.48,20.40
5.73,2.76,19.30
5.87,2.26,22.00
6.00,2.20,20.30
5.96,2.09,20.50
5.86,1.94,17.30
5.88,2.01,18.80
5.99,1.99,21.40
5.61,1.76,15.70
5.69,1.79,16.20
6.43,1.81,18.00
5.64,1.98,14.30
6.46,2.12,19.20
6.33,2.27,19.60
6.37,2.33,23.00
5.82,2.47,18.40
5.76,2.35,15.60
6.34,2.11,18.10
5.94,1.97,17.40
6.45,1.85,17.10
5.86,1.67,13.30
6.15,1.67,17.80
6.17,1.61,14.00
5.02,1.44,14.40
5.40,1.32,13.40
5.47,1.41,15.60
4.90,1.35,11.80
6.13,1.42,13.80
5.63,1.52,15.60
4.93,1.46,14.60
5.19,1.53,17.80
5.60,1.53,15.40
6.12,1.62,21.50
5.40,1.59,19.60
5.01,1.61,15.30
5.71,1.62,19.40
6.13,1.75,17.00
6.15,1.75,15.60
5.27,1.74,13.10
6.94,1.88,41.30
6.07,1.76,24.30
6.51,1.77,23.30
6.25,1.80,27.00
7.49,1.97,50.00
7.80,2.04,50.00
8.38,2.16,50.00
5.85,2.42,22.70
6.10,2.28,25.00
7.93,2.05,50.00
5.88,2.43,23.80
6.32,2.10,23.80
6.40,2.26,22.30
5.88,2.43,17.40
5.88,2.39,19.10
5.57,2.60,23.10
6.42,2.65,23.60
5.86,2.70,22.60
6.55,3.13,29.40
6.02,3.55,23.20
6.32,3.32,24.60
6.86,2.92,29.90
6.98,2.83,37.20
7.76,2.74,39.80
6.14,2.60,36.20
7.16,2.70,37.90
6.56,2.85,32.50
5.60,2.99,26.40
6.15,3.28,29.60
7.83,3.20,50.00
6.78,3.79,32.00
6.56,4.57,29.80
7.18,4.57,34.90
6.95,6.48,37.00
6.74,6.48,30.50
7.18,6.48,36.40
6.80,6.22,31.10
6.60,6.22,29.10
7.88,5.65,50.00
7.29,7.31,33.30
7.11,7.31,30.30
7.27,7.31,34.60
6.97,7.65,34.90
7.14,7.65,32.90
6.16,6.27,24.10
7.61,6.27,42.30
7.85,5.12,48.50
8.03,5.12,50.00
5.89,3.95,22.60
6.33,4.35,24.40
5.78,4.35,22.50
6.06,4.24,24.40
5.34,3.88,20.00
5.96,3.88,21.70
5.40,3.66,19.30
5.81,3.65,22.40
6.38,3.95,28.10
5.41,3.59,23.70
6.18,3.95,25.00
5.89,3.11,23.30
6.64,3.42,28.70
5.95,2.89,21.50
6.37,3.36,23.00
6.95,2.86,26.70
6.16,3.05,21.70
6.88,3.27,27.50
6.62,3.27,30.10
8.27,2.89,44.80
8.73,2.89,50.00
8.04,3.22,37.60
7.16,3.22,31.60
7.69,3.38,46.70
6.55,3.38,31.50
5.98,3.67,24.30
7.41,3.67,31.70
8.34,3.84,41.70
8.25,3.65,48.30
6.73,3.65,29.00
6.09,3.65,24.00
6.63,4.15,25.10
7.36,4.15,31.50
6.48,6.19,23.70
6.61,6.19,23.30
6.90,6.34,22.00
6.09,6.34,20.10
6.36,7.04,22.20
6.39,7.04,23.70
5.59,7.95,17.60
5.61,7.95,18.50
6.11,8.06,24.30
6.23,8.06,20.50
6.43,7.83,24.50
6.72,7.83,26.20
6.49,7.40,24.40
6.44,7.40,24.80
6.96,8.91,29.60
8.26,8.91,42.80
6.11,9.22,21.90
5.88,9.22,20.90
7.45,6.34,44.00
8.70,1.80,50.00
7.33,1.89,36.00
6.84,2.01,30.10
7.20,2.11,33.80
7.52,2.14,43.10
8.40,2.29,48.80
7.33,2.08,31.00
7.21,1.93,36.50
5.56,1.99,22.80
7.01,2.13,30.70
8.30,2.42,50.00
7.47,2.87,43.50
5.92,3.92,20.70
5.86,4.43,21.10
6.24,4.43,25.20
6.54,3.92,24.40
7.69,4.37,35.20
6.76,4.08,32.40
6.85,4.27,32.00
7.27,4.79,33.20
6.83,4.86,33.10
6.48,4.14,29.10
6.81,4.10,35.10
7.82,4.69,45.40
6.97,5.24,35.40
7.64,5.21,46.00
7.92,5.89,50.00
7.09,7.31,32.20
6.45,7.31,22.00
6.23,9.09,20.10
6.21,7.32,23.20
6.32,7.32,22.30
6.57,7.32,24.80
6.86,5.12,28.50
7.15,5.12,37.30
6.63,5.12,27.90
6.13,5.50,23.90
6.01,5.50,21.70
6.68,5.96,28.60
6.55,5.96,27.10
5.79,6.32,20.30
6.34,7.83,22.50
7.04,7.83,29.00
6.87,7.83,24.80
6.59,5.49,22.00
6.49,5.49,26.40
6.98,5.49,33.10
7.24,4.02,36.10
6.62,3.37,28.40
7.42,3.10,33.40
6.85,3.18,28.20
6.64,3.32,22.80
5.97,3.10,20.30
4.97,2.52,16.10
6.12,2.64,22.10
6.02,2.83,19.40
6.27,3.26,21.60
6.57,3.60,23.80
5.70,3.94,16.20
5.91,4.00,17.80
5.78,4.03,19.80
6.38,3.53,23.10
6.11,4.00,21.00
6.43,4.54,23.80
6.38,4.54,23.10
6.04,4.72,20.40
5.71,4.72,18.50
6.41,4.72,25.00
6.43,5.42,24.60
6.31,5.42,23.00
6.08,5.42,22.20
5.87,5.21,19.30
6.33,5.21,22.60
6.14,5.87,19.80
5.71,6.64,17.10
6.03,6.64,19.40
6.32,6.46,22.20
6.31,6.46,20.70
6.04,5.99,21.10
5.87,5.23,19.50
5.89,5.61,18.50
6.06,4.81,20.60
5.99,4.81,19.00
5.97,4.81,18.70
7.24,7.04,32.70
6.54,6.27,16.50
6.70,5.73,23.90
6.87,6.47,31.20
6.01,8.01,17.50
5.90,8.01,17.20
6.52,8.54,23.10
6.64,8.34,24.50
6.94,8.79,26.60
6.49,8.79,22.90
6.58,10.71,24.10
5.88,10.71,18.60
6.73,12.13,30.10
5.66,10.59,18.20
5.94,10.59,20.60
6.21,2.12,17.80
6.39,2.51,21.70
6.13,2.72,22.70
6.11,2.51,22.60
6.40,2.52,25.00
6.25,2.30,19.90
5.36,2.10,20.80
5.80,1.90,16.80
8.78,1.90,21.90
3.56,1.61,27.50
4.96,1.75,21.90
3.86,1.51,23.10
4.97,1.33,50.00
6.68,1.36,50.00
7.02,1.20,50.00
6.22,1.17,50.00
5.88,1.13,50.00
4.91,1.17,13.80
4.14,1.14,13.80
7.31,1.32,15.00
6.65,1.34,13.90
6.79,1.36,13.30
6.38,1.39,13.10
6.22,1.39,10.20
6.97,1.42,10.40
6.55,1.52,10.90
5.54,1.58,11.30
5.52,1.53,12.30
4.37,1.44,8.80
5.28,1.43,7.20
4.65,1.47,10.50
5.00,1.52,7.40
4.88,1.59,10.20
5.39,1.73,11.50
5.71,1.93,15.10
6.05,2.17,23.20
5.04,1.77,9.70
6.19,1.79,13.80
5.89,1.78,12.70
6.47,1.73,13.10
6.41,1.68,12.50
5.75,1.63,8.50
5.45,1.49,5.00
5.85,1.50,6.30
5.99,1.59,5.60
6.34,1.57,7.20
6.40,1.64,12.10
5.35,1.70,8.30
5.53,1.61,8.50
5.68,1.43,5.00
4.14,1.18,11.90
5.61,1.29,27.90
5.62,1.45,17.20
6.85,1.47,27.50
5.76,1.41,15.00
6.66,1.53,17.20
4.63,1.55,17.90
5.16,1.59,16.30
4.52,1.66,7.00
6.43,1.83,7.20
6.78,1.82,7.50
5.30,1.65,10.40
5.96,1.80,8.80
6.82,1.79,8.40
6.41,1.86,16.70
6.01,1.87,14.20
5.65,1.95,20.80
6.10,2.02,13.40
5.57,2.06,11.70
5.90,1.91,8.30
5.84,2.00,10.20
6.20,1.86,10.90
6.19,1.94,11.00
6.38,1.97,9.50
6.35,2.05,14.50
6.83,2.09,14.10
6.43,2.20,16.10
6.44,2.32,14.30
6.21,2.22,11.70
6.63,2.12,13.40
6.46,2.00,9.60
6.15,1.91,8.70
5.93,1.82,8.40
5.63,1.82,12.80
5.82,1.87,10.50
6.41,2.07,17.10
6.22,2.00,18.40
6.49,1.98,15.40
5.85,1.90,10.80
6.46,1.99,11.80
6.34,2.07,14.90
6.25,2.20,12.60
6.18,2.26,14.10
6.42,2.18,13.00
6.75,2.32,13.40
6.66,2.36,15.20
6.30,2.37,16.10
7.39,2.45,17.80
6.73,2.50,14.90
6.53,2.44,14.10
5.98,2.58,12.70
5.94,2.78,13.50
6.30,2.78,14.90
6.08,2.72,20.00
6.70,2.60,16.40
6.38,2.57,17.70
6.32,2.73,19.50
6.51,2.80,20.20
6.21,2.96,21.40
5.76,3.07,19.90
5.95,2.87,19.00
6.00,2.54,19.10
5.93,2.91,19.10
5.71,2.82,20.10
6.17,3.03,19.90
6.23,3.10,19.60
6.44,2.90,23.20
6.98,2.53,29.80
5.43,2.43,13.80
6.16,2.21,13.30
6.48,2.31,16.70
5.30,2.10,12.00
6.18,2.17,14.60
6.23,1.95,21.40
6.24,3.42,23.00
6.75,3.33,23.70
7.06,3.41,25.00
5.76,4.10,21.80
5.87,3.72,20.60
6.31,3.99,21.20
6.11,3.55,19.10
5.91,3.15,20.60
5.45,1.82,15.20
5.41,1.76,7.00
5.09,1.82,8.10
5.98,1.87,13.60
5.98,2.11,20.10
5.71,2.38,21.80
5.93,2.38,24.50
5.67,2.80,23.10
5.39,2.80,19.70
5.79,2.89,18.30